"value","type_id","model_name","target_end_date","scenario_id","horizon","location","age_group"
181.5782297385,0.975,1,2023-11-18,2,1,"24","0-130"
205.9230887577,0.99,1,2023-11-18,2,1,"24","0-130"
15.443176521,0.01,2,2023-11-18,2,1,"24","0-130"
17.6475397345,0.025,2,2023-11-18,2,1,"24","0-130"
21.2135302392,0.05,2,2023-11-18,2,1,"24","0-130"
26.6703203378,0.1,2,2023-11-18,2,1,"24","0-130"
39.0930462282,0.25,2,2023-11-18,2,1,"24","0-130"
60.6205703879,0.5,2,2023-11-18,2,1,"24","0-130"
78.907254514,0.75,2,2023-11-18,2,1,"24","0-130"
152.0126954852,0.9,2,2023-11-18,2,1,"24","0-130"
195.9817282134,0.95,2,2023-11-18,2,1,"24","0-130"
221.7928467015,0.975,2,2023-11-18,2,1,"24","0-130"
238.0972936305,0.99,2,2023-11-18,2,1,"24","0-130"
25.8735967832,0.01,3,2023-11-18,2,1,"24","0-130"
26.8323813538,0.025,3,2023-11-18,2,1,"24","0-130"
28.9779052103,0.05,3,2023-11-18,2,1,"24","0-130"
33.1391842853,0.1,3,2023-11-18,2,1,"24","0-130"
41.2128124578,0.25,3,2023-11-18,2,1,"24","0-130"
53.0358219379,0.5,3,2023-11-18,2,1,"24","0-130"
82.8791344229,0.75,3,2023-11-18,2,1,"24","0-130"
132.6786859818,0.9,3,2023-11-18,2,1,"24","0-130"
151.5314358497,0.95,3,2023-11-18,2,1,"24","0-130"
171.4045221868,0.975,3,2023-11-18,2,1,"24","0-130"
183.1615034873,0.99,3,2023-11-18,2,1,"24","0-130"
57.9013675894,0.01,4,2023-11-18,2,1,"24","0-130"
61.7702040738,0.025,4,2023-11-18,2,1,"24","0-130"
63.2951675808,0.05,4,2023-11-18,2,1,"24","0-130"
67.3198458298,0.1,4,2023-11-18,2,1,"24","0-130"
71.7408893887,0.25,4,2023-11-18,2,1,"24","0-130"
76.7684416852,0.5,4,2023-11-18,2,1,"24","0-130"
147.4678634734,0.75,4,2023-11-18,2,1,"24","0-130"
221.7928467015,0.9,4,2023-11-18,2,1,"24","0-130"
232.5182326249,0.95,4,2023-11-18,2,1,"24","0-130"
246.465885139,0.975,4,2023-11-18,2,1,"24","0-130"
253.333695346,0.99,4,2023-11-18,2,1,"24","0-130"
36.121611413,0.01,5,2023-11-18,2,1,"24","0-130"
37.7761593218,0.025,5,2023-11-18,2,1,"24","0-130"
39.3995011185,0.05,5,2023-11-18,2,1,"24","0-130"
43.4135794397,0.1,5,2023-11-18,2,1,"24","0-130"
50.4555132823,0.25,5,2023-11-18,2,1,"24","0-130"
64.5792643759,0.5,5,2023-11-18,2,1,"24","0-130"
105.0009276264,0.75,5,2023-11-18,2,1,"24","0-130"
172.273946322,0.9,5,2023-11-18,2,1,"24","0-130"
181.5782297385,0.95,5,2023-11-18,2,1,"24","0-130"
202.438809562,0.975,5,2023-11-18,2,1,"24","0-130"
212.8916471491,0.99,5,2023-11-18,2,1,"24","0-130"
12.6303871465,0.01,6,2023-11-18,2,1,"24","0-130"
14.7637198623,0.025,6,2023-11-18,2,1,"24","0-130"
17.1506551217,0.05,6,2023-11-18,2,1,"24","0-130"
20.0678787357,0.1,6,2023-11-18,2,1,"24","0-130"
27.5497928872,0.25,6,2023-11-18,2,1,"24","0-130"
36.3282712565,0.5,6,2023-11-18,2,1,"24","0-130"
52.1034620176,0.75,6,2023-11-18,2,1,"24","0-130"
83.1112878193,0.9,6,2023-11-18,2,1,"24","0-130"
104.9330653924,0.95,6,2023-11-18,2,1,"24","0-130"
117.6950322729,0.975,6,2023-11-18,2,1,"24","0-130"
128.2982478021,0.99,6,2023-11-18,2,1,"24","0-130"
15.6255821535,0.01,7,2023-11-18,2,1,"24","0-130"
15.8886033857,0.025,7,2023-11-18,2,1,"24","0-130"
18.5563093021,0.05,7,2023-11-18,2,1,"24","0-130"
22.8647891309,0.1,7,2023-11-18,2,1,"24","0-130"
31.9701116332,0.25,7,2023-11-18,2,1,"24","0-130"
41.4923795,0.5,7,2023-11-18,2,1,"24","0-130"
60.7573412194,0.75,7,2023-11-18,2,1,"24","0-130"
93.0834256416,0.9,7,2023-11-18,2,1,"24","0-130"
121.4846419609,0.95,7,2023-11-18,2,1,"24","0-130"
140.3702348116,0.975,7,2023-11-18,2,1,"24","0-130"
153.4313598255,0.99,7,2023-11-18,2,1,"24","0-130"
13.7600048823,0.01,1,2023-11-18,3,1,"24","0-130"
16.0393513728,0.025,1,2023-11-18,3,1,"24","0-130"
19.1504221432,0.05,1,2023-11-18,3,1,"24","0-130"
26.5634767326,0.1,1,2023-11-18,3,1,"24","0-130"
37.8175629467,0.25,1,2023-11-18,3,1,"24","0-130"
51.2042098544,0.5,1,2023-11-18,3,1,"24","0-130"
77.8657510559,0.75,1,2023-11-18,3,1,"24","0-130"
133.6266618444,0.9,1,2023-11-18,3,1,"24","0-130"
165.3567459214,0.95,1,2023-11-18,3,1,"24","0-130"
198.5618693284,0.975,1,2023-11-18,3,1,"24","0-130"
222.0483136502,0.99,1,2023-11-18,3,1,"24","0-130"
13.0172233201,0.01,2,2023-11-18,3,1,"24","0-130"
14.9211675904,0.025,2,2023-11-18,3,1,"24","0-130"
18.0934296702,0.05,2,2023-11-18,3,1,"24","0-130"
24.3453118312,0.1,2,2023-11-18,3,1,"24","0-130"
36.9342076526,0.25,2,2023-11-18,3,1,"24","0-130"
60.2788977724,0.5,2,2023-11-18,3,1,"24","0-130"
80.3623490225,0.75,2,2023-11-18,3,1,"24","0-130"
147.9259075995,0.9,2,2023-11-18,3,1,"24","0-130"
203.58827092,0.95,2,2023-11-18,3,1,"24","0-130"
224.2909216992,0.975,2,2023-11-18,3,1,"24","0-130"
239.9235605495,0.99,2,2023-11-18,3,1,"24","0-130"
20.5754181914,0.01,3,2023-11-18,3,1,"24","0-130"
24.7238228241,0.025,3,2023-11-18,3,1,"24","0-130"
26.3830371297,0.05,3,2023-11-18,3,1,"24","0-130"
29.7119406923,0.1,3,2023-11-18,3,1,"24","0-130"
37.0637778172,0.25,3,2023-11-18,3,1,"24","0-130"
51.7220087042,0.5,3,2023-11-18,3,1,"24","0-130"
82.070454596,0.75,3,2023-11-18,3,1,"24","0-130"
122.1762069423,0.9,3,2023-11-18,3,1,"24","0-130"
161.4061518254,0.95,3,2023-11-18,3,1,"24","0-130"
