"value","type_id","model_name","target_end_date","scenario_id","horizon","location","age_group"
40.6651162002,0.95,2,2023-11-18,1,1,"41","1-4"
43.7377202084,0.975,2,2023-11-18,1,1,"41","1-4"
46.874563928,0.99,2,2023-11-18,1,1,"41","1-4"
4.428810639,0.01,2,2023-11-18,1,1,"41","5-64"
5.131621797,0.025,2,2023-11-18,1,1,"41","5-64"
6.5219090596,0.05,2,2023-11-18,1,1,"41","5-64"
10.2267106528,0.1,2,2023-11-18,1,1,"41","5-64"
16.3381927805,0.25,2,2023-11-18,1,1,"41","5-64"
25.0446062766,0.5,2,2023-11-18,1,1,"41","5-64"
32.6352948544,0.75,2,2023-11-18,1,1,"41","5-64"
40.8148178858,0.9,2,2023-11-18,1,1,"41","5-64"
48.8483842336,0.95,2,2023-11-18,1,1,"41","5-64"
51.752380709,0.975,2,2023-11-18,1,1,"41","5-64"
56.3305879928,0.99,2,2023-11-18,1,1,"41","5-64"
5.9795452583,0.01,2,2023-11-18,1,1,"41","65-130"
7.0138427519,0.025,2,2023-11-18,1,1,"41","65-130"
8.9279349448,0.05,2,2023-11-18,1,1,"41","65-130"
10.8471910884,0.1,2,2023-11-18,1,1,"41","65-130"
20.0340166285,0.25,2,2023-11-18,1,1,"41","65-130"
28.543163977,0.5,2,2023-11-18,1,1,"41","65-130"
36.7822902769,0.75,2,2023-11-18,1,1,"41","65-130"
42.1507666508,0.9,2,2023-11-18,1,1,"41","65-130"
47.6177097433,0.95,2,2023-11-18,1,1,"41","65-130"
49.0806817204,0.975,2,2023-11-18,1,1,"41","65-130"
51.7634062107,0.99,2,2023-11-18,1,1,"41","65-130"
8.0315183549,0.01,3,2023-11-18,1,1,"41","0-0.99"
9.4460067784,0.025,3,2023-11-18,1,1,"41","0-0.99"
12.1100067055,0.05,3,2023-11-18,1,1,"41","0-0.99"
16.1406172321,0.1,3,2023-11-18,1,1,"41","0-0.99"
27.7444669957,0.25,3,2023-11-18,1,1,"41","0-0.99"
42.1871502135,0.5,3,2023-11-18,1,1,"41","0-0.99"
60.0569961976,0.75,3,2023-11-18,1,1,"41","0-0.99"
81.8638466864,0.9,3,2023-11-18,1,1,"41","0-0.99"
89.8830756752,0.95,3,2023-11-18,1,1,"41","0-0.99"
96.4355883995,0.975,3,2023-11-18,1,1,"41","0-0.99"
105.5382782212,0.99,3,2023-11-18,1,1,"41","0-0.99"
16.6485897735,0.01,3,2023-11-18,1,1,"41","0-130"
23.3830475218,0.025,3,2023-11-18,1,1,"41","0-130"
31.8092131938,0.05,3,2023-11-18,1,1,"41","0-130"
47.5243943266,0.1,3,2023-11-18,1,1,"41","0-130"
73.6001730414,0.25,3,2023-11-18,1,1,"41","0-130"
