"scenario_id","horizon","location_name","target_end_date","model_name","value"
2,1,"Georgia",2023-11-18,1,1
2,1,"Maryland",2023-11-18,1,0
2,1,"Michigan",2023-11-18,1,0
2,1,"Minnesota",2023-11-18,1,0
2,1,"New Mexico",2023-11-18,1,0
2,1,"New York",2023-11-18,1,0
2,1,"Oregon",2023-11-18,1,1
2,1,"Tennessee",2023-11-18,1,0
2,1,"US",2023-11-18,1,0
2,1,"Utah",2023-11-18,1,0
2,1,"California",2023-11-18,2,0
2,1,"Colorado",2023-11-18,2,0
2,1,"Connecticut",2023-11-18,2,0.125
2,1,"Georgia",2023-11-18,2,1
2,1,"Maryland",2023-11-18,2,0
2,1,"Michigan",2023-11-18,2,0
2,1,"Minnesota",2023-11-18,2,0
2,1,"New Mexico",2023-11-18,2,0
2,1,"New York",2023-11-18,2,0
2,1,"Oregon",2023-11-18,2,0.375
2,1,"Tennessee",2023-11-18,2,0
2,1,"US",2023-11-18,2,0
2,1,"Utah",2023-11-18,2,0.125
2,1,"California",2023-11-18,4,0
2,1,"Colorado",2023-11-18,4,0
2,1,"Connecticut",2023-11-18,4,1
2,1,"Georgia",2023-11-18,4,1
2,1,"Maryland",2023-11-18,4,0
2,1,"Michigan",2023-11-18,4,0
2,1,"Minnesota",2023-11-18,4,0
2,1,"New Mexico",2023-11-18,4,0
2,1,"New York",2023-11-18,4,0
2,1,"Oregon",2023-11-18,4,0
2,1,"Tennessee",2023-11-18,4,0
2,1,"US",2023-11-18,4,0
2,1,"Utah",2023-11-18,4,1
2,1,"California",2023-11-18,5,0
2,1,"Colorado",2023-11-18,5,0
2,1,"Connecticut",2023-11-18,5,0
2,1,"Georgia",2023-11-18,5,1
2,1,"Maryland",2023-11-18,5,0
2,1,"Michigan",2023-11-18,5,0
2,1,"Minnesota",2023-11-18,5,0
2,1,"New Mexico",2023-11-18,5,0
2,1,"New York",2023-11-18,5,0
2,1,"Oregon",2023-11-18,5,1
2,1,"Tennessee",2023-11-18,5,0
2,1,"US",2023-11-18,5,0
2,1,"Utah",2023-11-18,5,0
2,1,"California",2023-11-18,6,0
2,1,"Colorado",2023-11-18,6,0
2,1,"Connecticut",2023-11-18,6,0
2,1,"Georgia",2023-11-18,6,1
2,1,"Maryland",2023-11-18,6,0
2,1,"Michigan",2023-11-18,6,0
2,1,"Minnesota",2023-11-18,6,0
2,1,"New Mexico",2023-11-18,6,0
2,1,"New York",2023-11-18,6,0
2,1,"Oregon",2023-11-18,6,1
2,1,"Tennessee",2023-11-18,6,0
2,1,"US",2023-11-18,6,0
2,1,"Utah",2023-11-18,6,0
2,1,"California",2023-11-18,7,0
2,1,"Colorado",2023-11-18,7,0
2,1,"Connecticut",2023-11-18,7,0
2,1,"Georgia",2023-11-18,7,1
2,1,"Maryland",2023-11-18,7,0
2,1,"Michigan",2023-11-18,7,0
2,1,"Minnesota",2023-11-18,7,0
2,1,"New Mexico",2023-11-18,7,0
2,1,"New York",2023-11-18,7,0
2,1,"Oregon",2023-11-18,7,1
2,1,"Tennessee",2023-11-18,7,0
2,1,"US",2023-11-18,7,0
2,1,"Utah",2023-11-18,7,0
3,1,"California",2023-11-18,1,0
3,1,"Colorado",2023-11-18,1,0
3,1,"Connecticut",2023-11-18,1,0.25
3,1,"Georgia",2023-11-18,1,0.25
3,1,"Maryland",2023-11-18,1,0
3,1,"Michigan",2023-11-18,1,0
3,1,"Minnesota",2023-11-18,1,0
3,1,"New Mexico",2023-11-18,1,0
3,1,"New York",2023-11-18,1,0
3,1,"Oregon",2023-11-18,1,1
3,1,"Tennessee",2023-11-18,1,0
3,1,"US",2023-11-18,1,0
3,1,"Utah",2023-11-18,1,1
3,1,"California",2023-11-18,2,0
3,1,"Colorado",2023-11-18,2,0
3,1,"Connecticut",2023-11-18,2,0.25
3,1,"Georgia",2023-11-18,2,0.25
3,1,"Maryland",2023-11-18,2,0
3,1,"Michigan",2023-11-18,2,0
3,1,"Minnesota",2023-11-18,2,0
3,1,"New Mexico",2023-11-18,2,0
3,1,"New York",2023-11-18,2,0
3,1,"Oregon",2023-11-18,2,0.375
3,1,"Tennessee",2023-11-18,2,0
3,1,"US",2023-11-18,2,0
3,1,"Utah",2023-11-18,2,0.375
3,1,"California",2023-11-18,4,0
3,1,"Colorado",2023-11-18,4,0
3,1,"Connecticut",2023-11-18,4,1
3,1,"Georgia",2023-11-18,4,1
3,1,"Maryland",2023-11-18,4,0
3,1,"Michigan",2023-11-18,4,0
3,1,"Minnesota",2023-11-18,4,0
3,1,"New Mexico",2023-11-18,4,0
