"location","date","age_group","target","value"
"35","2023-11-18","50-64","cum hosp",3.03556
"27","2023-11-18","50-64","cum hosp",2.156622
"26","2023-11-18","50-64","cum hosp",17.968365
"24","2023-11-18","50-64","cum hosp",31.92982
"13","2023-11-18","50-64","cum hosp",26.7332
"09","2023-11-18","50-64","cum hosp",12.118512
"08","2023-11-18","50-64","cum hosp",0
"06","2023-11-18","50-64","cum hosp",71.5818
"US","2023-11-18","50-64","cum hosp",691.677239
"49","2023-11-18","0-4","cum hosp",9.32296
"47","2023-11-18","0-4","cum hosp",134.599772
"41","2023-11-18","0-4","cum hosp",25.965324
"36","2023-11-18","0-4","cum hosp",372.844384
"35","2023-11-18","0-4","cum hosp",37.189464
"27","2023-11-18","0-4","cum hosp",80.550744
"26","2023-11-18","0-4","cum hosp",128.205575
"24","2023-11-18","0-4","cum hosp",108.45164
"13","2023-11-18","0-4","cum hosp",114.94119
"09","2023-11-18","0-4","cum hosp",71.189944
"08","2023-11-18","0-4","cum hosp",103.83072
"06","2023-11-18","0-4","cum hosp",429.808328
"US","2023-11-18","0-4","cum hosp",4634.58825
"49","2023-11-18","18-130","cum hosp",7.33389
"47","2023-11-18","18-130","cum hosp",65.909664
"41","2023-11-18","18-130","cum hosp",20.410062
"36","2023-11-18","18-130","cum hosp",235.01853
"35","2023-11-18","18-130","cum hosp",3.281134
"27","2023-11-18","18-130","cum hosp",13.267158
"26","2023-11-18","18-130","cum hosp",63.37904
"24","2023-11-18","18-130","cum hosp",110.090466
"13","2023-11-18","18-130","cum hosp",150.22206
"09","2023-11-18","18-130","cum hosp",72.251475
"08","2023-11-18","18-130","cum hosp",22.940895
"06","2023-11-18","18-130","cum hosp",516.472886
"US","2023-11-18","18-130","cum hosp",3376.765223
"06","2023-11-18","0-0.99","cum hosp",205.1343925
"08","2023-11-18","0-0.99","cum hosp",34.9854855
"09","2023-11-18","0-0.99","cum hosp",33.64606
"13","2023-11-18","0-0.99","cum hosp",64.663695
"24","2023-11-18","0-0.99","cum hosp",75.105588
"26","2023-11-18","0-0.99","cum hosp",59.6771525
"27","2023-11-18","0-0.99","cum hosp",44.0334
"35","2023-11-18","0-0.99","cum hosp",13.39369
"36","2023-11-18","0-0.99","cum hosp",192.519789
"41","2023-11-18","0-0.99","cum hosp",11.59719
"47","2023-11-18","0-0.99","cum hosp",97.05959
"49","2023-11-18","0-0.99","cum hosp",9.102405
"US","2023-11-18","0-0.99","cum hosp",2458.4779275
"06","2023-11-18","1-4","cum hosp",216.561242
"08","2023-11-18","1-4","cum hosp",68.053749
"09","2023-11-18","1-4","cum hosp",37.00173
"13","2023-11-18","1-4","cum hosp",48.462201
"24","2023-11-18","1-4","cum hosp",33.215826
"26","2023-11-18","1-4","cum hosp",68.495721
"27","2023-11-18","1-4","cum hosp",35.656101
"35","2023-11-18","1-4","cum hosp",23.730633
"36","2023-11-18","1-4","cum hosp",184.970686
"41","2023-11-18","1-4","cum hosp",14.154636
"47","2023-11-18","1-4","cum hosp",36.483646
"49","2023-11-18","1-4","cum hosp",0
"US","2023-11-18","1-4","cum hosp",2135.18889
"06","2023-11-18","5-64","cum hosp",199.318641
"08","2023-11-18","5-64","cum hosp",12.436899
"09","2023-11-18","5-64","cum hosp",30.274707
"13","2023-11-18","5-64","cum hosp",77.137526
"24","2023-11-18","5-64","cum hosp",48.443305
"26","2023-11-18","5-64","cum hosp",63.368485
"27","2023-11-18","5-64","cum hosp",10.287381
"35","2023-11-18","5-64","cum hosp",3.03556
"36","2023-11-18","5-64","cum hosp",92.48702
"41","2023-11-18","5-64","cum hosp",8.979985
"47","2023-11-18","5-64","cum hosp",41.639738
"49","2023-11-18","5-64","cum hosp",5.277987
"US","2023-11-18","5-64","cum hosp",1679.267855
"49","2023-11-25","0.5-0.99","cum hosp",6.06827
"47","2023-11-25","0.5-0.99","cum hosp",39.54883
"41","2023-11-25","0.5-0.99","cum hosp",6.958314
