"location","date","age_group","target","value"
"US","2023-12-30","0-0.49","cum hosp",13651.4583345
"49","2023-12-30","50-64","cum hosp",36.466092
"47","2023-12-30","50-64","cum hosp",182.320668
"41","2023-12-30","50-64","cum hosp",48.766158
"36","2023-12-30","50-64","cum hosp",740.768479
"35","2023-12-30","50-64","cum hosp",30.735045
"27","2023-12-30","50-64","cum hosp",61.463727
"26","2023-12-30","50-64","cum hosp",203.64147
"24","2023-12-30","50-64","cum hosp",259.12277
"13","2023-12-30","50-64","cum hosp",308.46
"09","2023-12-30","50-64","cum hosp",181.77768
"08","2023-12-30","50-64","cum hosp",93.54807
"06","2023-12-30","50-64","cum hosp",794.55798
"US","2023-12-30","50-64","cum hosp",8174.36737
"49","2023-12-30","0-4","cum hosp",427.923864
"47","2023-12-30","0-4","cum hosp",503.127461
"41","2023-12-30","0-4","cum hosp",202.98289
"36","2023-12-30","0-4","cum hosp",3174.473349
"35","2023-12-30","0-4","cum hosp",871.861872
"27","2023-12-30","0-4","cum hosp",935.90721
"26","2023-12-30","0-4","cum hosp",1514.8642
"24","2023-12-30","0-4","cum hosp",609.428248
"13","2023-12-30","0-4","cum hosp",548.18106
"09","2023-12-30","0-4","cum hosp",414.608781
"08","2023-12-30","0-4","cum hosp",1440.0332
"06","2023-12-30","0-4","cum hosp",2291.601828
"US","2023-12-30","0-4","cum hosp",40413.60954
"49","2023-12-30","18-130","cum hosp",112.45298
"47","2023-12-30","18-130","cum hosp",648.111696
"41","2023-12-30","18-130","cum hosp",244.920744
"36","2023-12-30","18-130","cum hosp",3399.934734
"35","2023-12-30","18-130","cum hosp",70.544381
"27","2023-12-30","18-130","cum hosp",375.90281
"26","2023-12-30","18-130","cum hosp",1093.28844
"24","2023-12-30","18-130","cum hosp",1177.489332
"13","2023-12-30","18-130","cum hosp",1168.3938
"09","2023-12-30","18-130","cum hosp",895.91829
"08","2023-12-30","18-130","cum hosp",385.407036
"06","2023-12-30","18-130","cum hosp",4405.20991
"US","2023-12-30","18-130","cum hosp",36624.915111
"06","2023-12-30","0-0.99","cum hosp",1241.6476545
"08","2023-12-30","0-0.99","cum hosp",654.759805
"09","2023-12-30","0-0.99","cum hosp",220.223865
"13","2023-12-30","0-0.99","cum hosp",283.583103
"24","2023-12-30","0-0.99","cum hosp",390.984753
"26","2023-12-30","0-0.99","cum hosp",878.1066725
"27","2023-12-30","0-0.99","cum hosp",496.7032275
"35","2023-12-30","0-0.99","cum hosp",408.45547
"36","2023-12-30","0-0.99","cum hosp",1814.281581
"41","2023-12-30","0-0.99","cum hosp",109.013586
"47","2023-12-30","0-0.99","cum hosp",334.27111
"49","2023-12-30","0-0.99","cum hosp",215.330227
"US","2023-12-30","0-0.99","cum hosp",21288.39314
"06","2023-12-30","1-4","cum hosp",997.563229
"08","2023-12-30","1-4","cum hosp",768.509514
"09","2023-12-30","1-4","cum hosp",191.453277
"13","2023-12-30","1-4","cum hosp",258.077937
"24","2023-12-30","1-4","cum hosp",216.924714
"26","2023-12-30","1-4","cum hosp",633.723912
"27","2023-12-30","1-4","cum hosp",431.639226
"35","2023-12-30","1-4","cum hosp",460.790544
"36","2023-12-30","1-4","cum hosp",1410.888082
"41","2023-12-30","1-4","cum hosp",92.069085
"47","2023-12-30","1-4","cum hosp",164.095572
"49","2023-12-30","1-4","cum hosp",207.804215
"US","2023-12-30","1-4","cum hosp",18760.475186
"06","2023-12-30","5-64","cum hosp",1744.755916
"08","2023-12-30","5-64","cum hosp",278.513655
"09","2023-12-30","5-64","cum hosp",346.216908
"13","2023-12-30","5-64","cum hosp",566.695985
"24","2023-12-30","5-64","cum hosp",489.197295
"26","2023-12-30","5-64","cum hosp",480.76206
"27","2023-12-30","5-64","cum hosp",181.9527
"35","2023-12-30","5-64","cum hosp",89.923451
"36","2023-12-30","5-64","cum hosp",1457.357969
"41","2023-12-30","5-64","cum hosp",109.302786
"47","2023-12-30","5-64","cum hosp",286.504986
"49","2023-12-30","5-64","cum hosp",104.403918
"US","2023-12-30","5-64","cum hosp",16946.2614
"49","2024-01-06","0.5-0.99","cum hosp",100.1031155
"47","2024-01-06","0.5-0.99","cum hosp",107.85304
"41","2024-01-06","0.5-0.99","cum hosp",41.749884
"36","2024-01-06","0.5-0.99","cum hosp",608.268045
"35","2024-01-06","0.5-0.99","cum hosp",204.227735
"27","2024-01-06","0.5-0.99","cum hosp",199.0244925
"26","2024-01-06","0.5-0.99","cum hosp",366.5882225
"24","2024-01-06","0.5-0.99","cum hosp",136.967419
"13","2024-01-06","0.5-0.99","cum hosp",69.599378
"09","2024-01-06","0.5-0.99","cum hosp",100.956115
"08","2024-01-06","0.5-0.99","cum hosp",322.5391435
"06","2024-01-06","0.5-0.99","cum hosp",512.304545
"US","2024-01-06","0.5-0.99","cum hosp",8635.0584285
"49","2024-01-06","65-130","cum hosp",70.91
"47","2024-01-06","65-130","cum hosp",578.748786
"41","2024-01-06","65-130","cum hosp",255.307214
"36","2024-01-06","65-130","cum hosp",2544.393264
"35","2024-01-06","65-130","cum hosp",65.754689
"27","2024-01-06","65-130","cum hosp",340.158412
"26","2024-01-06","65-130","cum hosp",990.936545
"24","2024-01-06","65-130","cum hosp",911.594457
"13","2024-01-06","65-130","cum hosp",908.054904
"09","2024-01-06","65-130","cum hosp",705.770352
"08","2024-01-06","65-130","cum hosp",333.62387
"06","2024-01-06","65-130","cum hosp",3521.087284
"US","2024-01-06","65-130","cum hosp",31498.19434
"49","2024-01-06","0-130","cum hosp",742.77236
"49","2024-01-06","1-1.99","cum hosp",132.165267
"47","2024-01-06","0-130","cum hosp",1385.029579
"47","2024-01-06","1-1.99","cum hosp",83.306578
"41","2024-01-06","0-130","cum hosp",563.742445
"41","2024-01-06","1-1.99","cum hosp",58.576634
"36","2024-01-06","0-130","cum hosp",7685.96129
"36","2024-01-06","1-1.99","cum hosp",616.9515
"35","2024-01-06","0-130","cum hosp",1117.242028
"35","2024-01-06","1-1.99","cum hosp",304.999074
"27","2024-01-06","0-130","cum hosp",1589.200344
"27","2024-01-06","1-1.99","cum hosp",290.692938
"26","2024-01-06","0-130","cum hosp",3170.1357
"26","2024-01-06","1-1.99","cum hosp",299.927265
"24","2024-01-06","0-130","cum hosp",2079.13107
"24","2024-01-06","1-1.99","cum hosp",99.3147
"13","2024-01-06","0-130","cum hosp",1986.548082
"13","2024-01-06","1-1.99","cum hosp",127.081702
"09","2024-01-06","0-130","cum hosp",1589.658071
"09","2024-01-06","1-1.99","cum hosp",98.13285
"08","2024-01-06","0-130","cum hosp",2333.106696
"08","2024-01-06","1-1.99","cum hosp",406.761819
"06","2024-01-06","0-130","cum hosp",8166.17571
"06","2024-01-06","1-1.99","cum hosp",456.365826
"US","2024-01-06","0-130","cum hosp",92683.818414
"US","2024-01-06","1-1.99","cum hosp",10289.138339
"49","2024-01-06","5-17","cum hosp",61.470992
"47","2024-01-06","5-17","cum hosp",74.759124
"41","2024-01-06","5-17","cum hosp",31.5457
"36","2024-01-06","5-17","cum hosp",322.30781
"35","2024-01-06","5-17","cum hosp",50.67518
"27","2024-01-06","5-17","cum hosp",75.194808
"26","2024-01-06","5-17","cum hosp",127.43487
"24","2024-01-06","5-17","cum hosp",83.726496
"13","2024-01-06","5-17","cum hosp",86.398994
"09","2024-01-06","5-17","cum hosp",43.95384
"08","2024-01-06","5-17","cum hosp",135.98235
"06","2024-01-06","5-17","cum hosp",408.193856
"US","2024-01-06","5-17","cum hosp",4312.84336
"49","2024-01-06","18-49","cum hosp",29.632647
"47","2024-01-06","18-49","cum hosp",46.574096
"41","2024-01-06","18-49","cum hosp",36.23866
"36","2024-01-06","18-49","cum hosp",427.749764
"35","2024-01-06","18-49","cum hosp",18.012099
"27","2024-01-06","18-49","cum hosp",68.049747
"26","2024-01-06","18-49","cum hosp",169.91352
"24","2024-01-06","18-49","cum hosp",158.398569
"13","2024-01-06","18-49","cum hosp",190.413963
"09","2024-01-06","18-49","cum hosp",143.994732
"08","2024-01-06","18-49","cum hosp",73.772104
"06","2024-01-06","18-49","cum hosp",716.806902
"US","2024-01-06","18-49","cum hosp",5563.0628
"49","2024-01-06","2-4","cum hosp",154.410296
"47","2024-01-06","2-4","cum hosp",109.9431
"41","2024-01-06","2-4","cum hosp",38.183312
"36","2024-01-06","2-4","cum hosp",891.454027
"35","2024-01-06","2-4","cum hosp",233.685067
"27","2024-01-06","2-4","cum hosp",194.577039
"26","2024-01-06","2-4","cum hosp",419.384475
"24","2024-01-06","2-4","cum hosp",133.132896
"13","2024-01-06","2-4","cum hosp",151.55676
"09","2024-01-06","2-4","cum hosp",108.79176
"08","2024-01-06","2-4","cum hosp",483.609456
"06","2024-01-06","2-4","cum hosp",709.938932
"US","2024-01-06","2-4","cum hosp",11052.360963
"49","2024-01-06","0-0.49","cum hosp",187.9996725
"47","2024-01-06","0-0.49","cum hosp",265.9669
"41","2024-01-06","0-0.49","cum hosp",78.860892
"36","2024-01-06","0-0.49","cum hosp",1489.800375
"35","2024-01-06","0-0.49","cum hosp",284.57946
"27","2024-01-06","0-0.49","cum hosp",345.2412825
"26","2024-01-06","0-0.49","cum hosp",690.5499075
"24","2024-01-06","0-0.49","cum hosp",265.082614
"13","2024-01-06","0-0.49","cum hosp",233.913888
"09","2024-01-06","0-0.49","cum hosp",143.749025
"08","2024-01-06","0-0.49","cum hosp",441.0434385
"06","2024-01-06","0-0.49","cum hosp",888.7739845
"US","2024-01-06","0-0.49","cum hosp",15535.370634
"49","2024-01-06","50-64","cum hosp",49.421151
"47","2024-01-06","50-64","cum hosp",194.566086
"41","2024-01-06","50-64","cum hosp",55.732752
"36","2024-01-06","50-64","cum hosp",942.443667
"35","2024-01-06","50-64","cum hosp",33.770605
"27","2024-01-06","50-64","cum hosp",81.951636
"26","2024-01-06","50-64","cum hosp",283.50087
"24","2024-01-06","50-64","cum hosp",299.64908
"13","2024-01-06","50-64","cum hosp",355.7572
"09","2024-01-06","50-64","cum hosp",227.2221
"08","2024-01-06","50-64","cum hosp",118.494222
"06","2024-01-06","50-64","cum hosp",952.03794
"US","2024-01-06","50-64","cum hosp",9872.120593
"49","2024-01-06","0-4","cum hosp",581.053482
"47","2024-01-06","0-4","cum hosp",572.454452
"41","2024-01-06","0-4","cum hosp",219.46881
"36","2024-01-06","0-4","cum hosp",3547.317733
"35","2024-01-06","0-4","cum hosp",1030.632276
"27","2024-01-06","0-4","cum hosp",1037.916144
"26","2024-01-06","0-4","cum hosp",1780.394575
"24","2024-01-06","0-4","cum hosp",636.016392
"13","2024-01-06","0-4","cum hosp",589.231485
"09","2024-01-06","0-4","cum hosp",454.925535
"08","2024-01-06","0-4","cum hosp",1673.65232
"06","2024-01-06","0-4","cum hosp",2625.660776
"US","2024-01-06","0-4","cum hosp",45938.038734
"49","2024-01-06","18-130","cum hosp",149.12243
"47","2024-01-06","18-130","cum hosp",719.513832
"41","2024-01-06","18-130","cum hosp",306.15093
"36","2024-01-06","18-130","cum hosp",4120.658226
"35","2024-01-06","18-130","cum hosp",113.199123
"27","2024-01-06","18-130","cum hosp",464.35053
"26","2024-01-06","18-130","cum hosp",1338.88222
"24","2024-01-06","18-130","cum hosp",1354.591386
"13","2024-01-06","18-130","cum hosp",1318.61586
"09","2024-01-06","18-130","cum hosp",1092.442302
"08","2024-01-06","18-130","cum hosp",490.935153
"06","2024-01-06","18-130","cum hosp",5255.871134
"US","2024-01-06","18-130","cum hosp",43638.196728
"06","2024-01-06","0-0.99","cum hosp",1401.0785295
"08","2024-01-06","0-0.99","cum hosp",763.582582
"09","2024-01-06","0-0.99","cum hosp",244.70514
"13","2024-01-06","0-0.99","cum hosp",303.513266
"24","2024-01-06","0-0.99","cum hosp",402.050033
"26","2024-01-06","0-0.99","cum hosp",1057.13813
"27","2024-01-06","0-0.99","cum hosp",544.265775
"35","2024-01-06","0-0.99","cum hosp",488.807195
"36","2024-01-06","0-0.99","cum hosp",2098.06842
"41","2024-01-06","0-0.99","cum hosp",120.610776
"47","2024-01-06","0-0.99","cum hosp",373.81994
"49","2024-01-06","0-0.99","cum hosp",288.102788
"US","2024-01-06","0-0.99","cum hosp",24170.4290625
"06","2024-01-06","1-4","cum hosp",1166.304758
"08","2024-01-06","1-4","cum hosp",890.371275
"09","2024-01-06","1-4","cum hosp",206.92461
"13","2024-01-06","1-4","cum hosp",278.638462
"24","2024-01-06","1-4","cum hosp",232.447596
"26","2024-01-06","1-4","cum hosp",719.31174
"27","2024-01-06","1-4","cum hosp",485.269977
"35","2024-01-06","1-4","cum hosp",538.684141
"36","2024-01-06","1-4","cum hosp",1508.405527
"41","2024-01-06","1-4","cum hosp",96.759946
"47","2024-01-06","1-4","cum hosp",193.249678
"49","2024-01-06","1-4","cum hosp",286.575563
"US","2024-01-06","1-4","cum hosp",21341.499302
"06","2024-01-06","5-64","cum hosp",2077.038698
"08","2024-01-06","5-64","cum hosp",328.248676
"09","2024-01-06","5-64","cum hosp",415.170672
"13","2024-01-06","5-64","cum hosp",632.570157
"24","2024-01-06","5-64","cum hosp",541.774145
"26","2024-01-06","5-64","cum hosp",580.84926
"27","2024-01-06","5-64","cum hosp",225.196191
"35","2024-01-06","5-64","cum hosp",102.457884
"36","2024-01-06","5-64","cum hosp",1692.501241
"41","2024-01-06","5-64","cum hosp",123.517112
"47","2024-01-06","5-64","cum hosp",315.899306
"49","2024-01-06","5-64","cum hosp",140.52479
"US","2024-01-06","5-64","cum hosp",19748.026753
"49","2024-01-13","0.5-0.99","cum hosp",124.352856
"47","2024-01-13","0.5-0.99","cum hosp",118.64649
"41","2024-01-13","0.5-0.99","cum hosp",41.749884
"36","2024-01-13","0.5-0.99","cum hosp",628.561542
"35","2024-01-13","0.5-0.99","cum hosp",227.661485
"27","2024-01-13","0.5-0.99","cum hosp",214.8894675
"26","2024-01-13","0.5-0.99","cum hosp",375.11353
"24","2024-01-13","0.5-0.99","cum hosp",136.967419
"13","2024-01-13","0.5-0.99","cum hosp",72.098458
"09","2024-01-13","0.5-0.99","cum hosp",100.956115
"08","2024-01-13","0.5-0.99","cum hosp",355.575752
"06","2024-01-13","0.5-0.99","cum hosp",546.5290395
"US","2024-01-13","0.5-0.99","cum hosp",9272.2369775
"49","2024-01-13","65-130","cum hosp",102.1104
"47","2024-01-13","65-130","cum hosp",638.577247
"41","2024-01-13","65-130","cum hosp",299.353826
"36","2024-01-13","65-130","cum hosp",2897.187288
"35","2024-01-13","65-130","cum hosp",85.521436
"27","2024-01-13","65-130","cum hosp",386.044884
"26","2024-01-13","65-130","cum hosp",1184.61105
"24","2024-01-13","65-130","cum hosp",986.777505
"13","2024-01-13","65-130","cum hosp",991.951281
"09","2024-01-13","65-130","cum hosp",784.041876
"08","2024-01-13","65-130","cum hosp",402.17672
"06","2024-01-13","65-130","cum hosp",3939.67808
"US","2024-01-13","65-130","cum hosp",35543.83398
"49","2024-01-13","0-130","cum hosp",914.960498
"49","2024-01-13","1-1.99","cum hosp",169.933218
"47","2024-01-13","0-130","cum hosp",1511.580505
"47","2024-01-13","1-1.99","cum hosp",90.554091
"41","2024-01-13","0-130","cum hosp",644.27708
"41","2024-01-13","1-1.99","cum hosp",60.902355
"36","2024-01-13","0-130","cum hosp",8452.5917
"36","2024-01-13","1-1.99","cum hosp",656.091
"35","2024-01-13","0-130","cum hosp",1260.0474
"35","2024-01-13","1-1.99","cum hosp",321.943467
"27","2024-01-13","0-130","cum hosp",1743.54714
"27","2024-01-13","1-1.99","cum hosp",321.02226
"26","2024-01-13","0-130","cum hosp",3491.1621
"26","2024-01-13","1-1.99","cum hosp",299.927265
"24","2024-01-13","0-130","cum hosp",2207.9268
"24","2024-01-13","1-1.99","cum hosp",110.357148
"13","2024-01-13","0-130","cum hosp",2138.524438
"13","2024-01-13","1-1.99","cum hosp",134.701688
"09","2024-01-13","0-130","cum hosp",1727.259453
"09","2024-01-13","1-1.99","cum hosp",104.279175
"08","2024-01-13","0-130","cum hosp",2605.882852
"08","2024-01-13","1-1.99","cum hosp",442.308279
"06","2024-01-13","0-130","cum hosp",8905.020179
"06","2024-01-13","1-1.99","cum hosp",491.376942
"US","2024-01-13","0-130","cum hosp",101985.420262
"US","2024-01-13","1-1.99","cum hosp",11200.697857
"49","2024-01-13","5-17","cum hosp",70.551934
"47","2024-01-13","5-17","cum hosp",74.759124
"41","2024-01-13","5-17","cum hosp",38.485754
"36","2024-01-13","5-17","cum hosp",348.678449
"35","2024-01-13","5-17","cum hosp",54.17002
"27","2024-01-13","5-17","cum hosp",80.979024
"26","2024-01-13","5-17","cum hosp",144.74084
"24","2024-01-13","5-17","cum hosp",83.726496
"13","2024-01-13","5-17","cum hosp",93.91195
"09","2024-01-13","5-17","cum hosp",47.250378
"08","2024-01-13","5-17","cum hosp",152.300232
"06","2024-01-13","5-17","cum hosp",433.705972
"US","2024-01-13","5-17","cum hosp",4690.217154
"49","2024-01-13","18-49","cum hosp",43.669164
"47","2024-01-13","18-49","cum hosp",64.039382
"41","2024-01-13","18-49","cum hosp",47.110258
"36","2024-01-13","18-49","cum hosp",518.235291
"35","2024-01-13","18-49","cum hosp",30.020165
"27","2024-01-13","18-49","cum hosp",79.782462
"26","2024-01-13","18-49","cum hosp",186.09576
"24","2024-01-13","18-49","cum hosp",165.941358
"13","2024-01-13","18-49","cum hosp",204.346692
"09","2024-01-13","18-49","cum hosp",155.749404
"08","2024-01-13","18-49","cum hosp",94.849848
"06","2024-01-13","18-49","cum hosp",802.141057
"US","2024-01-13","18-49","cum hosp",6397.52222
"49","2024-01-13","2-4","cum hosp",182.805968
"47","2024-01-13","2-4","cum hosp",120.93741
"41","2024-01-13","2-4","cum hosp",42.956226
"36","2024-01-13","2-4","cum hosp",969.223268
"35","2024-01-13","2-4","cum hosp",260.745485
"27","2024-01-13","2-4","cum hosp",210.741279
"26","2024-01-13","2-4","cum hosp",445.040937
"24","2024-01-13","2-4","cum hosp",139.74687
"13","2024-01-13","2-4","cum hosp",154.242576
"09","2024-01-13","2-4","cum hosp",108.79176
"08","2024-01-13","2-4","cum hosp",517.994532
"06","2024-01-13","2-4","cum hosp",709.938932
"US","2024-01-13","2-4","cum hosp",11863.543419
"49","2024-01-13","0-0.49","cum hosp",212.249413
"47","2024-01-13","0-0.49","cum hosp",269.55114
"41","2024-01-13","0-0.49","cum hosp",83.499768
"36","2024-01-13","0-0.49","cum hosp",1581.067425
"35","2024-01-13","0-0.49","cum hosp",321.4069
"27","2024-01-13","0-0.49","cum hosp",366.38379
"26","2024-01-13","0-0.49","cum hosp",741.7017525
"24","2024-01-13","0-0.49","cum hosp",276.113315
"13","2024-01-13","0-0.49","cum hosp",253.844051
"09","2024-01-13","0-0.49","cum hosp",152.931745
"08","2024-01-13","0-0.49","cum hosp",489.608196
"06","2024-01-13","0-0.49","cum hosp",922.998479
"US","2024-01-13","0-0.49","cum hosp",16695.551229
"49","2024-01-13","50-64","cum hosp",59.977125
"47","2024-01-13","50-64","cum hosp",223.138728
"41","2024-01-13","50-64","cum hosp",67.343742
"36","2024-01-13","50-64","cum hosp",992.862464
"35","2024-01-13","50-64","cum hosp",46.29229
"27","2024-01-13","50-64","cum hosp",90.578124
"26","2024-01-13","50-64","cum hosp",319.4376
"24","2024-01-13","50-64","cum hosp",318.07013
"13","2024-01-13","50-64","cum hosp",376.3212
"09","2024-01-13","50-64","cum hosp",254.488752
"08","2024-01-13","50-64","cum hosp",135.12499
"06","2024-01-13","50-64","cum hosp",1037.9361
"US","2024-01-13","50-64","cum hosp",10815.316828
"49","2024-01-13","0-4","cum hosp",696.658186
"47","2024-01-13","0-4","cum hosp",605.293553
"41","2024-01-13","0-4","cum hosp",231.215028
"36","2024-01-13","0-4","cum hosp",3772.930954
"35","2024-01-13","0-4","cum hosp",1135.378932
"27","2024-01-13","0-4","cum hosp",1122.098274
"26","2024-01-13","0-4","cum hosp",1866.222575
"24","2024-01-13","0-4","cum hosp",664.7036
"13","2024-01-13","0-4","cum hosp",622.071825
"09","2024-01-13","0-4","cum hosp",470.36213
"08","2024-01-13","0-4","cum hosp",1827.54428
"06","2024-01-13","0-4","cum hosp",2734.17674
"US","2024-01-13","0-4","cum hosp",49478.864157
"49","2024-01-13","18-130","cum hosp",202.90429
"47","2024-01-13","18-130","cum hosp",812.885856
"41","2024-01-13","18-130","cum hosp",367.381116
"36","2024-01-13","18-130","cum hosp",4637.698992
"35","2024-01-13","18-130","cum hosp",155.853865
"27","2024-01-13","18-130","cum hosp",526.263934
"26","2024-01-13","18-130","cum hosp",1560.70886
"24","2024-01-13","18-130","cum hosp",1455.108768
"13","2024-01-13","18-130","cum hosp",1427.10957
"09","2024-01-13","18-130","cum hosp",1210.934721
"08","2024-01-13","18-130","cum hosp",591.875091
"06","2024-01-13","18-130","cum hosp",5863.486294
"US","2024-01-13","18-130","cum hosp",49092.971319
"06","2024-01-13","0-0.99","cum hosp",1469.5275185
"08","2024-01-13","0-0.99","cum hosp",845.183948
"09","2024-01-13","0-0.99","cum hosp",253.88786
"13","2024-01-13","0-0.99","cum hosp",325.942509
"24","2024-01-13","0-0.99","cum hosp",413.080734
"26","2024-01-13","0-0.99","cum hosp",1116.8152825
"27","2024-01-13","0-0.99","cum hosp",581.2732575
"35","2024-01-13","0-0.99","cum hosp",549.068385
"36","2024-01-13","0-0.99","cum hosp",2209.628967
"41","2024-01-13","0-0.99","cum hosp",125.249652
"47","2024-01-13","0-0.99","cum hosp",388.19763
"49","2024-01-13","0-0.99","cum hosp",336.602269
"US","2024-01-13","0-0.99","cum hosp",25967.7882065
"06","2024-01-13","1-4","cum hosp",1201.315874
"08","2024-01-13","1-4","cum hosp",960.302811
"09","2024-01-13","1-4","cum hosp",213.070935
"13","2024-01-13","1-4","cum hosp",288.944264
"24","2024-01-13","1-4","cum hosp",250.104018
"26","2024-01-13","1-4","cum hosp",744.968202
"27","2024-01-13","1-4","cum hosp",531.763539
"35","2024-01-13","1-4","cum hosp",582.688952
"36","2024-01-13","1-4","cum hosp",1625.314268
"41","2024-01-13","1-4","cum hosp",103.858581
"47","2024-01-13","1-4","cum hosp",211.491501
"49","2024-01-13","1-4","cum hosp",352.739186
"US","2024-01-13","1-4","cum hosp",23064.241276
"06","2024-01-13","5-64","cum hosp",2273.783129
"08","2024-01-13","5-64","cum hosp",382.27507
"09","2024-01-13","5-64","cum hosp",457.488534
"13","2024-01-13","5-64","cum hosp",674.579842
"24","2024-01-13","5-64","cum hosp",567.737984
"26","2024-01-13","5-64","cum hosp",650.2742
"27","2024-01-13","5-64","cum hosp",251.33961
"35","2024-01-13","5-64","cum hosp",130.482475
"36","2024-01-13","5-64","cum hosp",1859.776204
"41","2024-01-13","5-64","cum hosp",152.939754
"47","2024-01-13","5-64","cum hosp",361.937234
"49","2024-01-13","5-64","cum hosp",174.198223
"US","2024-01-13","5-64","cum hosp",21903.056202
"49","2024-01-20","0.5-0.99","cum hosp",154.6708665
"47","2024-01-20","0.5-0.99","cum hosp",118.64649
"41","2024-01-20","0.5-0.99","cum hosp",44.069322
"36","2024-01-20","0.5-0.99","cum hosp",648.855039
"35","2024-01-20","0.5-0.99","cum hosp",231.0047
"27","2024-01-20","0.5-0.99","cum hosp",225.4445325
"26","2024-01-20","0.5-0.99","cum hosp",375.11353
"24","2024-01-20","0.5-0.99","cum hosp",145.819643
"13","2024-01-20","0.5-0.99","cum hosp",77.096618
"09","2024-01-20","0.5-0.99","cum hosp",100.956115
"08","2024-01-20","0.5-0.99","cum hosp",380.848286
"06","2024-01-20","0.5-0.99","cum hosp",569.274511
"US","2024-01-20","0.5-0.99","cum hosp",9784.1896845
"49","2024-01-20","65-130","cum hosp",121.9652
"47","2024-01-20","65-130","cum hosp",703.289664
"41","2024-01-20","65-130","cum hosp",338.50637
"36","2024-01-20","65-130","cum hosp",3257.108464
"35","2024-01-20","65-130","cum hosp",91.975884
"27","2024-01-20","65-130","cum hosp",439.911612
"26","2024-01-20","65-130","cum hosp",1351.960865
"24","2024-01-20","65-130","cum hosp",1042.120582
"13","2024-01-20","65-130","cum hosp",1079.137712
"09","2024-01-20","65-130","cum hosp",862.3134
"08","2024-01-20","65-130","cum hosp",467.987456
"06","2024-01-20","65-130","cum hosp",4222.842442
"US","2024-01-20","65-130","cum hosp",39184.909656
"49","2024-01-20","0-130","cum hosp",1070.267446
"49","2024-01-20","1-1.99","cum hosp",195.111852
"47","2024-01-20","0-130","cum hosp",1602.978396
"47","2024-01-20","1-1.99","cum hosp",97.801604
"41","2024-01-20","0-130","cum hosp",703.61839
"41","2024-01-20","1-1.99","cum hosp",65.593216
"36","2024-01-20","0-130","cum hosp",9238.8793
"36","2024-01-20","1-1.99","cum hosp",665.97675
"35","2024-01-20","0-130","cum hosp",1354.550955
"35","2024-01-20","1-1.99","cum hosp",342.28098
"27","2024-01-20","0-130","cum hosp",1869.311196
"27","2024-01-20","1-1.99","cum hosp",335.26881
"26","2024-01-20","0-130","cum hosp",3782.092275
"26","2024-01-20","1-1.99","cum hosp",325.650015
"24","2024-01-20","0-130","cum hosp",2306.05688
"24","2024-01-20","1-1.99","cum hosp",116.955684
"13","2024-01-20","0-130","cum hosp",2279.64534
"13","2024-01-20","1-1.99","cum hosp",139.740711
"09","2024-01-20","0-130","cum hosp",1846.75539
"09","2024-01-20","1-1.99","cum hosp",104.279175
"08","2024-01-20","0-130","cum hosp",2832.229024
"08","2024-01-20","1-1.99","cum hosp",467.987532
"06","2024-01-20","0-130","cum hosp",9410.545342
"06","2024-01-20","1-1.99","cum hosp",491.376942
"US","2024-01-20","0-130","cum hosp",109626.02178
"US","2024-01-20","1-1.99","cum hosp",11807.20793
"49","2024-01-20","5-17","cum hosp",83.125546
"47","2024-01-20","5-17","cum hosp",78.157266
"41","2024-01-20","5-17","cum hosp",43.533066
"36","2024-01-20","5-17","cum hosp",375.049088
"35","2024-01-20","5-17","cum hosp",60.810216
"27","2024-01-20","5-17","cum hosp",80.979024
"26","2024-01-20","5-17","cum hosp",152.60719
"24","2024-01-20","5-17","cum hosp",83.726496
"13","2024-01-20","5-17","cum hosp",101.424906
"09","2024-01-20","5-17","cum hosp",47.250378
"08","2024-01-20","5-17","cum hosp",158.646075
"06","2024-01-20","5-17","cum hosp",433.705972
"US","2024-01-20","5-17","cum hosp",4905.859322
"49","2024-01-20","18-49","cum hosp",46.78839
"47","2024-01-20","18-49","cum hosp",66.950263
"41","2024-01-20","18-49","cum hosp",48.922191
"36","2024-01-20","18-49","cum hosp",542.913162
"35","2024-01-20","18-49","cum hosp",36.024198
"27","2024-01-20","18-49","cum hosp",86.822091
"26","2024-01-20","18-49","cum hosp",194.18688
"24","2024-01-20","18-49","cum hosp",173.484147
"13","2024-01-20","18-49","cum hosp",218.279421
"09","2024-01-20","18-49","cum hosp",164.565408
"08","2024-01-20","18-49","cum hosp",105.38872
"06","2024-01-20","18-49","cum hosp",819.207888
"US","2024-01-20","18-49","cum hosp",6814.75193
"49","2024-01-20","2-4","cum hosp",214.309624
"47","2024-01-20","2-4","cum hosp",120.93741
"41","2024-01-20","2-4","cum hosp",42.956226
"36","2024-01-20","2-4","cum hosp",1017.427343
"35","2024-01-20","2-4","cum hosp",284.474344
"27","2024-01-20","2-4","cum hosp",218.015187
"26","2024-01-20","2-4","cum hosp",479.249553
"24","2024-01-20","2-4","cum hosp",141.88041
"13","2024-01-20","2-4","cum hosp",159.23052
"09","2024-01-20","2-4","cum hosp",121.225104
"08","2024-01-20","2-4","cum hosp",558.480186
"06","2024-01-20","2-4","cum hosp",759.168274
"US","2024-01-20","2-4","cum hosp",12640.926606
"49","2024-01-20","0-0.49","cum hosp",248.6356935
"47","2024-01-20","0-0.49","cum hosp",287.51307
"41","2024-01-20","0-0.49","cum hosp",85.819206
