"value","type_id","model_name","target_end_date","scenario_id","horizon","location","age_group"
161.4507344649,0.05,6,,2,,"49","0-130"
161.4507344649,0.1,6,,2,,"49","0-130"
161.4507344649,0.25,6,,2,,"49","0-130"
161.4507344649,0.5,6,,2,,"49","0-130"
161.4507344649,0.75,6,,2,,"49","0-130"
161.4507344649,0.9,6,,2,,"49","0-130"
161.4507344649,0.95,6,,2,,"49","0-130"
161.4507344649,0.975,6,,2,,"49","0-130"
161.4507344649,0.99,6,,2,,"49","0-130"
190.7886010207,0.01,7,,2,,"49","0-130"
190.7886010207,0.025,7,,2,,"49","0-130"
190.7886010207,0.05,7,,2,,"49","0-130"
190.7886010207,0.1,7,,2,,"49","0-130"
190.7886010207,0.25,7,,2,,"49","0-130"
190.7886010207,0.5,7,,2,,"49","0-130"
190.7886010207,0.75,7,,2,,"49","0-130"
190.7886010207,0.9,7,,2,,"49","0-130"
190.7886010207,0.95,7,,2,,"49","0-130"
190.7886010207,0.975,7,,2,,"49","0-130"
190.7886010207,0.99,7,,2,,"49","0-130"
187.6082456327,0.01,1,,3,,"49","0-130"
188.695905502,0.025,1,,3,,"49","0-130"
190.5086719508,0.05,1,,3,,"49","0-130"
194.1342048484,0.1,1,,3,,"49","0-130"
205.0108035413,0.25,1,,3,,"49","0-130"
223.1384680295,0.5,1,,3,,"49","0-130"
232.6075365103,0.75,1,,3,,"49","0-130"
238.2889775988,0.9,1,,3,,"49","0-130"
240.182791295,0.95,1,,3,,"49","0-130"
241.1296981431,0.975,1,,3,,"49","0-130"
241.6978422519,0.99,1,,3,,"49","0-130"
186.8831390532,0.01,2,,3,,"49","0-130"
186.8831390532,0.025,2,,3,,"49","0-130"
186.8831390532,0.05,2,,3,,"49","0-130"
186.8831390532,0.1,2,,3,,"49","0-130"
186.8831390532,0.25,2,,3,,"49","0-130"
223.1384680295,0.5,2,,3,,"49","0-130"
242.0766049912,0.75,2,,3,,"49","0-130"
256.8957042219,0.9,2,,3,,"49","0-130"
261.8354039655,0.95,2,,3,,"49","0-130"
264.3052538373,0.975,2,,3,,"49","0-130"
265.7871637603,0.99,2,,3,,"49","0-130"
266.7751037091,0.01,4,,3,,"49","0-130"
266.7751037091,0.025,4,,3,,"49","0-130"
266.7751037091,0.05,4,,3,,"49","0-130"
